iter	Logloss
0	0.6629928623
1	0.635008955
2	0.6094737655
3	0.5859095233
4	0.5637762135
5	0.5435966489
6	0.5248233539
7	0.5077264876
8	0.4917203271
9	0.4772034759
10	0.4637719826
11	0.4512957705
12	0.4397521771
13	0.4290989103
14	0.4191458585
15	0.410413413
16	0.4020809704
17	0.3948053119
18	0.3876937255
19	0.380942728
20	0.374664538
21	0.3690449569
22	0.3635915852
23	0.3586876863
24	0.3540321933
25	0.3498159564
26	0.3458482152
27	0.3422032891
28	0.3389758963
29	0.3358062734
30	0.3326664497
31	0.3301172625
32	0.3274777517
33	0.3247505691
34	0.3223386598
35	0.3202356433
36	0.3180973082
37	0.316141503
38	0.3143853685
39	0.312683271
40	0.3111316245
41	0.3096430948
42	0.3080331375
43	0.3067457154
44	0.3053847463
45	0.3042260733
46	0.3032960236
47	0.3023129147
48	0.3012994408
49	0.3001756882
50	0.2992026261
51	0.2983165915
52	0.297574806
53	0.296696446
54	0.2959681092
55	0.2952965297
56	0.2946091555
57	0.2939764965
58	0.2933774829
59	0.2926736502
60	0.2922681452
61	0.291572729
62	0.2910808207
63	0.2906269562
64	0.2901762241
65	0.2897148438
66	0.2892629562
67	0.2888735562
68	0.288497926
69	0.2880522558
70	0.2876659399
71	0.287341008
72	0.2870184996
73	0.2867091429
74	0.2864090142
75	0.2861496602
76	0.2858426272
77	0.2855298444
78	0.285213948
79	0.2849873427
80	0.2846887864
81	0.2844135703
82	0.2841637779
83	0.2838949207
84	0.2836140469
85	0.2834215119
86	0.2832584938
87	0.2830671698
88	0.2828128288
89	0.282604909
90	0.2824594507
91	0.2822821377
92	0.2821009634
93	0.2818974103
94	0.2816762208
95	0.2815342424
96	0.2813827759
97	0.2811898115
98	0.2810232838
99	0.280857927
100	0.2806494436
101	0.280479051
102	0.2803219617
103	0.2801687068
104	0.2800194206
105	0.2798226028
106	0.279682689
107	0.2795667902
108	0.2794159902
109	0.2792922322
110	0.2791561358
111	0.2790146052
112	0.2788798981
113	0.2787100672
114	0.2785872053
115	0.2785024632
116	0.2783927245
117	0.2783285151
118	0.2781900385
119	0.2780692321
120	0.2779462524
121	0.2778168954
122	0.2776277295
123	0.277507368
124	0.2773733516
125	0.2772639606
126	0.2771361966
127	0.2770504723
128	0.27693882
129	0.2767907083
130	0.2766777966
131	0.276596734
132	0.2765086181
133	0.2763718576
134	0.2762164706
135	0.2761626757
136	0.2760588722
137	0.2759759373
138	0.2758962696
139	0.2758145206
140	0.2756948794
141	0.2755637469
142	0.2754548374
143	0.2753817335
144	0.2753023204
145	0.2752287809
146	0.2751051074
147	0.2750097456
148	0.2749224958
149	0.274835723
150	0.2747567089
151	0.2746439058
152	0.2745730533
153	0.2745076045
154	0.274383307
155	0.2743294186
156	0.2742559586
157	0.2741768613
158	0.274103785
159	0.2740064401
160	0.2739397772
161	0.2738725318
162	0.27375416
163	0.2736698211
164	0.2735984855
165	0.2735335665
166	0.2734653972
167	0.2733611651
168	0.2733046133
169	0.2732620957
170	0.2731664375
171	0.2731131875
172	0.2729927347
173	0.2729023475
174	0.2728041951
175	0.2727185464
176	0.2726399926
177	0.2725725224
178	0.272528295
179	0.2724409625
180	0.2723744227
181	0.272289014
182	0.2722138033
183	0.2721628866
184	0.2721041314
185	0.2720466426
186	0.271981554
187	0.2719177926
188	0.2718512694
189	0.2717654682
190	0.2717158357
191	0.2716421842
192	0.2715726457
193	0.2715287708
194	0.2714426499
195	0.2714126173
196	0.2713408044
197	0.2713065672
198	0.2712563237
199	0.2711676826
200	0.2710938163
201	0.2710251892
202	0.2709389351
203	0.270891784
204	0.2708447749
205	0.2707377192
206	0.2706687797
207	0.2706279182
208	0.2705703472
209	0.2705356222
210	0.2704989581
211	0.270446763
212	0.2703899328
213	0.2703281218
214	0.2702780174
215	0.2701833271
216	0.2701175342
217	0.2700679244
218	0.2700187209
219	0.2699506815
220	0.2698984893
221	0.2698559069
222	0.2698051369
223	0.2697284864
224	0.2696818543
225	0.2696348656
226	0.2695983773
227	0.2695455503
228	0.2695073235
229	0.2694652977
230	0.269416602
231	0.2693772947
232	0.2693332814
233	0.2692856053
234	0.2692474992
235	0.269199394
236	0.2691537323
237	0.269115636
238	0.2690868935
239	0.2690392628
240	0.2689942932
241	0.2689400399
242	0.2688768673
243	0.2688266095
244	0.2687362568
245	0.2686513035
246	0.2685906244
247	0.2685327538
248	0.268461145
249	0.2684218647
250	0.2683544115
251	0.268308707
252	0.2682570998
253	0.2682238361
254	0.2681631589
255	0.2681154632
256	0.2680560901
257	0.2679911786
258	0.267926469
259	0.2678856782
260	0.2678192988
261	0.2677618712
262	0.2677078703
263	0.2676651925
264	0.2676181102
265	0.267539672
266	0.2674782185
267	0.2674056028
268	0.2673656145
269	0.2673021186
270	0.2672487707
271	0.2671959599
272	0.2671648678
273	0.2671345002
274	0.2670780481
275	0.2669961111
276	0.2669544825
277	0.2669125738
278	0.2668480553
279	0.2668230919
280	0.2667378508
281	0.2667072283
282	0.2666310569
283	0.2665980779
284	0.2665463408
285	0.2664942505
286	0.2664167054
287	0.2663689507
288	0.2663374536
289	0.2662951136
290	0.2662536876
291	0.2661932641
292	0.2661500478
293	0.2661068441
294	0.2660688141
295	0.266024064
296	0.2659447018
297	0.2659079614
298	0.265857226
299	0.2658241852
300	0.2657913902
301	0.2657453982
302	0.2657036586
303	0.2656502318
304	0.2655935569
305	0.2655382439
306	0.2655016227
307	0.2654493764
308	0.2653891496
309	0.2653480443
310	0.2652801126
311	0.2652380144
312	0.2652027017
313	0.2651526517
314	0.2650890124
315	0.2650626809
316	0.2650041895
317	0.2649670854
318	0.2649162828
319	0.2648840291
320	0.264835768
321	0.2648164454
322	0.2647513018
323	0.2647181077
324	0.2646740501
325	0.2646454303
326	0.2645915584
327	0.264553519
328	0.2645221298
329	0.2644878297
330	0.2644381226
331	0.2643940612
332	0.2643673762
