iter	Logloss
333	0.2643319838
334	0.2642927339
335	0.2642525752
336	0.2642036437
337	0.2641326809
338	0.2640811168
339	0.2640478048
340	0.2639795308
341	0.2639329951
342	0.2638961801
343	0.2638504043
344	0.2638114764
345	0.2637525543
346	0.263703835
347	0.2636198539
348	0.2635780216
349	0.2635460455
350	0.2635005901
351	0.2634645527
352	0.2634319013
353	0.2633897585
354	0.2633443428
355	0.2633038013
356	0.2632457679
357	0.2631938904
358	0.2631644031
359	0.2630939283
360	0.2630630513
361	0.2630131358
362	0.2629731338
363	0.2629143835
364	0.2628875286
365	0.2628473136
366	0.262795307
367	0.262762057
368	0.2627234989
369	0.2626694066
370	0.2626327505
371	0.2625713298
372	0.2625363792
373	0.2624720116
374	0.2624438646
375	0.2624205789
376	0.26237696
377	0.2623306055
378	0.2622887052
379	0.2622497545
380	0.2622236477
381	0.2621821305
382	0.2621574166
383	0.2621061446
384	0.2620449578
385	0.262007829
386	0.2619718809
387	0.2619373146
388	0.2619039828
389	0.2618613268
390	0.2618195814
391	0.2617667245
392	0.2617311291
393	0.2617034586
394	0.2616710692
395	0.2616218214
396	0.261564603
397	0.2614893911
398	0.2614452825
399	0.2614089014
400	0.2613691472
401	0.2613138489
402	0.2612446513
403	0.2611892899
404	0.2611274996
405	0.2610920085
406	0.2610490957
407	0.260996383
408	0.2609383714
409	0.2608670907
410	0.2608189801
411	0.2607846885
412	0.260727986
413	0.2607006024
414	0.2606615632
415	0.2606308628
416	0.260576189
417	0.2605314487
418	0.2604705877
419	0.2604097865
420	0.260341775
421	0.2602980996
422	0.2602366643
423	0.2601907688
424	0.2601508394
425	0.2601020012
426	0.2600525104
427	0.2599918449
428	0.259950412
429	0.2598908503
430	0.2598443863
431	0.2597911221
432	0.2597598943
433	0.2597310836
434	0.2596641004
435	0.2596036699
436	0.259510234
437	0.2594715787
438	0.259412594
439	0.259372661
440	0.2593037559
441	0.2592233421
442	0.2591730472
443	0.2591336956
444	0.2590437957
445	0.2589981971
446	0.258946287
447	0.2588967115
448	0.2588577086
449	0.2588171019
450	0.2587734665
451	0.2587335797
452	0.2586850679
453	0.2586485277
454	0.2585993009
455	0.2585351964
456	0.2584963847
457	0.2584639164
458	0.2584216425
459	0.2583791625
460	0.2583503236
461	0.258311337
462	0.2582603124
463	0.258227374
464	0.2581644869
465	0.2581276399
466	0.2580952396
467	0.2580560205
468	0.2579802554
469	0.2579329406
470	0.2578965532
471	0.2578658034
472	0.2578202934
473	0.2577765829
474	0.2577409141
475	0.2577064242
476	0.2576473156
477	0.2575794636
478	0.2575453414
479	0.257484611
480	0.2574633239
481	0.257407952
482	0.2573730347
483	0.2573194149
484	0.2572867987
485	0.2572474839
486	0.2571755033
487	0.2571372984
488	0.2570964213
489	0.2570632723
490	0.2569971847
491	0.2569634992
492	0.2569268728
493	0.2568908539
494	0.2568675226
495	0.2568206997
496	0.2567935295
497	0.2567494951
498	0.2567026871
499	0.2566569419
